"CREATURES";;;;;")";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78
"Nom";"Malun";"Femun";"Toby";"Waza";"Alice";"Ralph";"Nova";"Bibi";"Bimbo";"Eva";"Virga";"Loana";"Laure";"Bobby";"Mike";"Steph";"Lara";"Angela";"Sarah";"Marcus";"Buffy";"Angel";"Paula";"Peter";"Valentine";"Ender";"Petra";"Tuck";"Kenza";"Jason";"Lou";"Sean";"Colin";"Dave";"Ben";"Clara";"Steevy";"Diana";"Nana";"Fucky";"Alima";"Danny";"Cola";"Coca";"Monica";"Pepsi";"Mail";"Wanda";"Ganja";"Quint";"Joker";"Ken";"Blanka";"Banga";"Bahun";"Kah";"Kahde";"Bastet";"Isis";"Osiris";"Sekhmet";"Horus";"Shit";"Anubis";"Nout";"Theti";"Cleopatra";"God";"Amon";"Nefer";"Nefari";"Nefertiti";"Seth";"Apopis";"Min";"Mina";"<sansnom>";"Chia"
;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96
"Lobes";9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954
"Yeux";1;0;1;0;2;0;2;1;0;1;2;0;1;0;1;0;1;0;0;0;2;2;0;0;0;1;0;0;0;0;2;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;"?";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;2;0;0
"Cheveux";1;2;1;0;1;0;1;1;0;0;1;2;2;2;1;2;0;1;1;2;1;2;1;2;1;1;1;2;1;2;1;2;1;1;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;1;1;2;2
"Oreilles";0;1;0;1;2;1;2;0;1;0;2;1;0;1;0;1;0;1;1;1;2;0;1;1;1;0;1;1;1;1;2;1;1;0;1;2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;2;1;1;0;2;1;1
"Postérieur";1;0;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;-1;-1;-1;1;-1;-1;-1;1
"Bras";1;0;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Queue";1;0;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;1;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
